,Median_Income,zip_code,name,cuisine,price_range,rating,review_count,latitude,longitude,price,cuisine_cat
299,152955,20004.0,Proper 21 - F Street,Bars,2,3.9,861.0,38.8976440429688,-77.0305938720703,20.5,bars
300,152955,20004.0,Denson Liquor Bar,Cocktail Bars,3,4.3,434.0,38.897073,-77.020247,45.5,bars
301,152955,20004.0,Round Robin Bar,Bars,3,3.8,201.0,38.8963597742277,-77.0323094509132,45.5,bars
302,152955,20004.0,The Smith,New American,2,3.9,1590.0,38.897666,-77.024307,20.5,american
304,152955,20004.0,Living Room Bar,Bars,2,4.3,10.0,38.8967984,-77.0327448,20.5,bars
305,152955,20004.0,Elephant & Castle,British,2,3.4,1098.0,38.8955765720028,-77.028547874205,20.5,european
308,152955,20004.0,Silver Lyan,Cocktail Bars,3,4.3,164.0,38.89708534,-77.02443253,45.5,bars
310,152955,20004.0,Shelly's Back Room,New American,2,3.6,481.0,38.8974801984563,-77.031163412442,20.5,american
311,152955,20004.0,Penn Quarter Sports Tavern,Sports Bars,2,3.6,614.0,38.89428,-77.02146,20.5,bars
312,152955,20004.0,Puttery,Mini Golf,2,3.9,245.0,38.896891,-77.023434,20.5,entertainment
313,109147,20005.0,South Block,Juice Bars & Smoothies,2,4.3,43.0,38.909488,-77.03226,20.5,cafes
315,109147,20005.0,Slipstream,Coffee & Tea,2,3.8,613.0,38.9083633422852,-77.031494140625,20.5,cafes
317,109147,20005.0,Coffee Republic - Metro Center,Coffee & Tea,2,3.8,25.0,38.89788882310091,-77.0293001,20.5,cafes
322,109147,20005.0,Gallery Cafe,Cafes,2,4.1,28.0,38.90060035054428,-77.0324436916465,20.5,cafes
324,109147,20005.0,Dua Dc Coffee,Coffee & Tea,2,4.7,324.0,38.90191,-77.03328,20.5,cafes
325,109147,20005.0,Compass Coffee,Coffee Roasteries,2,4.3,76.0,38.901542,-77.032095,20.5,cafes
326,109147,20005.0,Swings Coffee,Coffee & Tea,2,4.4,135.0,38.8977603,-77.0320949,20.5,cafes
328,109147,20005.0,Paul French Bakery & Cafe - Franklin Square,Bakeries,2,3.5,162.0,38.90291,-77.02914,20.5,cafes
329,109147,20005.0,JOE & THE JUICE,Juice Bars & Smoothies,2,3.3,224.0,38.902268,-77.034726,20.5,cafes
330,109147,20005.0,Nino's Bakery,Bakeries,2,4.8,169.0,38.903555,-77.030344,20.5,cafes
333,109147,20005.0,Barcelona Wine Bar,Tapas/Small Plates,2,4.2,2254.0,38.91211256662496,-77.03215627334023,20.5,latin
334,109147,20005.0,Bozzelli's,Pizza,2,4.3,307.0,38.90339751472666,-77.0329814177919,20.5,american
335,109147,20005.0,JINYA Ramen Bar - Logan Circle,Ramen,2,4.1,1345.0,38.90845011013803,-77.03221963602826,20.5,asian
336,109147,20005.0,Soupy Dumpling & Fancy Cuppa Bubble Tea,Chinese,2,4.5,63.0,38.90793,-77.03229,20.5,asian
338,109147,20005.0,La Grande Boucherie,French,3,4.4,429.0,38.89817,-77.03162,45.5,european
339,109147,20005.0,ChurchKey,New American,2,3.9,1512.0,38.908492821790304,-77.03169314110445,20.5,american
340,109147,20005.0,"Joe's Seafood, Prime Steak & Stone Crab",Seafood,3,4.3,2011.0,38.89997328649278,-77.03393236740881,45.5,asian
342,109147,20005.0,Grazie Nonna,Italian,2,4.1,527.0,38.90401,-77.035,20.5,european
344,109147,20005.0,The Best Sandwich Place,Breakfast & Brunch,2,4.5,368.0,38.901,-77.03033,20.5,breakfast
345,109147,20005.0,The Hamilton,Seafood,2,3.9,3686.0,38.8974544016632,-77.0320804809509,20.5,asian
346,109147,20005.0,Immigrant Food,New American,2,4.2,219.0,38.90228434195082,-77.02930733940048,20.5,american
347,109147,20005.0,Mazi,New American,3,4.5,385.0,38.90213,-77.03544,45.5,american
348,109147,20005.0,Da Hong Pao,Cantonese,2,3.8,1062.0,38.9093783217825,-77.03174,20.5,asian
349,109147,20005.0,JINYA Ramen Bar - Logan Circle,Ramen,2,4.1,1345.0,38.90845011013803,-77.03221963602826,20.5,asian
351,109147,20005.0,Cornerstone Cafe,Bagels,1,4.0,67.0,38.9058227,-77.0349121,5.0,breakfast
352,109147,20005.0,14th St Cafe Asian Bistro,Chinese,2,4.1,281.0,38.90943,-77.0322599,20.5,asian
355,109147,20005.0,Pappe,Indian,3,4.0,528.0,38.90783,-77.03162,45.5,middle_eastern
356,109147,20005.0,Arepa Zone,Venezuelan,2,4.2,398.0,38.9045,-77.03159,20.5,latin
